id_proceso,producto,lote,etapa_actual,linea_produccion,cantidad_en_proceso,fecha_inicio,fecha_estim_termino,avance_porcentaje,estado,alerta_heuristica,anomaly,resultado_auditoria
WIP-1036,Silla,L-1525,Ensamblado,Línea A,18,2025-11-03,2025-11-05,90,En proceso,Fecha estimada vencida,1,Normal
WIP-1037,Puerta,L-7572,Ensamblado,Línea B,181,2025-11-07,2025-11-13,19,En proceso,Fecha estimada vencida,1,Normal
WIP-1038,Puerta,L-2084,Ensamblado,Línea C,156,2025-11-04,2025-11-12,37,En proceso,Fecha estimada vencida,1,Normal
WIP-1039,Mesa,L-6155,Pintura,Línea B,58,2025-11-02,2025-11-12,70,En proceso,Fecha estimada vencida,1,Normal
WIP-1040,Armario,L-9179,Soldadura,Línea B,115,2025-11-02,2025-11-04,22,En proceso,Fecha estimada vencida,1,Normal
WIP-1041,Silla,L-8517,Corte,Línea B,196,2025-11-11,2025-11-19,16,En proceso,Fecha estimada vencida,-1,Anómalo
WIP-1042,Mesa,L-5339,Ensamblado,Línea A,147,2025-10-29,2025-11-04,23,En proceso,Fecha estimada vencida,1,Normal
WIP-1043,Armario,L-5040,Ensamblado,Línea B,128,2025-10-29,2025-11-06,27,En proceso,Fecha estimada vencida,1,Normal
WIP-1044,Armario,L-8019,Control de calidad,Línea A,22,2025-11-04,2025-11-08,19,En proceso,Fecha estimada vencida,1,Normal
WIP-1045,Silla,L-6930,Ensamblado,Línea A,114,2025-11-11,2025-11-20,11,En proceso,Fecha estimada vencida,1,Normal
WIP-1046,Mesa,L-3266,Pintura,Línea A,52,2025-11-02,2025-11-10,71,En proceso,Fecha estimada vencida,1,Normal
WIP-1047,Armario,L-9085,Soldadura,Línea B,83,2025-11-16,2025-11-23,10,En proceso,Avance muy bajo,1,Normal
WIP-1048,Armario,L-1771,Ensamblado,Línea A,85,2025-10-27,2025-11-03,81,En proceso,Fecha estimada vencida,1,Normal
WIP-1049,Puerta,L-3504,Control de calidad,Línea A,90,2025-10-28,2025-11-01,17,En proceso,Fecha estimada vencida,1,Normal
